"","loan_amount","emp_length","home_ownership","income","loan_purpose","debt_to_income","credit_score","recent_inquiry","delinquent","credit_accounts","bad_public_record","credit_utilization","past_bankrupt","outcome"
"114","MEDIUM","2 - 5 years","MORTGAGE","LOW","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"115","MEDIUM","< 2 years","RENT","MEDIUM","credit_card","HIGH","LOW","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","default"
"121","HIGH","10+ years","MORTGAGE","MEDIUM","credit_card","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","FEW","NO","HIGH","NO","default"
"122","HIGH","2 - 5 years","RENT","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","MORE THAN 2 YEARS AGO","MANY","NO","MEDIUM","NO","default"
"125","HIGH","10+ years","RENT","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","default"
"132","HIGH","6 - 9 years","MORTGAGE","HIGH","home_improvement","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"133","MEDIUM","2 - 5 years","MORTGAGE","LOW","medical","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"138","MEDIUM","10+ years","RENT","MEDIUM","credit_card","HIGH","HIGH","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"141","HIGH","< 2 years","RENT","MEDIUM","debt_consolidation","HIGH","LOW","YES","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"143","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","LOW","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"146","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","LOW","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"150","MEDIUM","2 - 5 years","OWN","LOW","debt_consolidation","HIGH","AVERAGE","YES","NEVER","FEW","NO","HIGH","NO","repaid"
"152","MEDIUM","6 - 9 years","RENT","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"154","MEDIUM","10+ years","RENT","LOW","credit_card","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"156","MEDIUM","< 2 years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","AVERAGE","YES","IN PAST 2 YEARS","AVERAGE","NO","HIGH","NO","default"
"157","MEDIUM","< 2 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"161","HIGH","10+ years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","FEW","NO","HIGH","NO","repaid"
"163","MEDIUM","2 - 5 years","OWN","LOW","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"168","HIGH","10+ years","OWN","MEDIUM","debt_consolidation","AVERAGE","HIGH","YES","NEVER","FEW","NO","MEDIUM","NO","repaid"
"169","LOW","unemployed","OWN","LOW","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","default"
"171","HIGH","2 - 5 years","RENT","HIGH","debt_consolidation","AVERAGE","AVERAGE","NO","IN PAST 2 YEARS","AVERAGE","NO","MEDIUM","NO","repaid"
"176","MEDIUM","2 - 5 years","RENT","MEDIUM","small_business","LOW","AVERAGE","YES","IN PAST 2 YEARS","MANY","NO","MEDIUM","NO","default"
"177","MEDIUM","< 2 years","RENT","LOW","debt_consolidation","AVERAGE","LOW","YES","MORE THAN 2 YEARS AGO","FEW","NO","MEDIUM","NO","default"
"178","HIGH","6 - 9 years","RENT","MEDIUM","debt_consolidation","AVERAGE","LOW","YES","NEVER","AVERAGE","NO","HIGH","NO","default"
"180","HIGH","2 - 5 years","RENT","MEDIUM","debt_consolidation","LOW","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","default"
"183","HIGH","10+ years","RENT","MEDIUM","debt_consolidation","HIGH","LOW","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"184","HIGH","6 - 9 years","RENT","MEDIUM","debt_consolidation","AVERAGE","LOW","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","default"
"189","HIGH","< 2 years","RENT","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","default"
"196","MEDIUM","6 - 9 years","MORTGAGE","MEDIUM","other","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","default"
"197","HIGH","10+ years","MORTGAGE","HIGH","debt_consolidation","LOW","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"199","MEDIUM","2 - 5 years","RENT","LOW","debt_consolidation","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"204","MEDIUM","10+ years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","default"
"205","MEDIUM","2 - 5 years","RENT","LOW","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"208","MEDIUM","10+ years","MORTGAGE","MEDIUM","credit_card","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"209","MEDIUM","6 - 9 years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","FEW","NO","MEDIUM","NO","repaid"
"213","HIGH","10+ years","RENT","LOW","debt_consolidation","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","default"
"214","LOW","< 2 years","RENT","LOW","credit_card","HIGH","LOW","YES","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"218","HIGH","10+ years","MORTGAGE","HIGH","debt_consolidation","LOW","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"221","MEDIUM","< 2 years","MORTGAGE","MEDIUM","moving","HIGH","AVERAGE","YES","NEVER","MANY","NO","HIGH","NO","default"
"225","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","LOW","AVERAGE","NO","NEVER","FEW","NO","HIGH","NO","default"
"226","HIGH","10+ years","MORTGAGE","MEDIUM","home_improvement","AVERAGE","AVERAGE","YES","NEVER","FEW","NO","MEDIUM","NO","default"
"227","MEDIUM","6 - 9 years","MORTGAGE","MEDIUM","credit_card","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","default"
"228","LOW","< 2 years","RENT","MEDIUM","major_purchase","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"232","MEDIUM","2 - 5 years","RENT","MEDIUM","credit_card","LOW","AVERAGE","NO","NEVER","FEW","NO","MEDIUM","NO","default"
"234","LOW","2 - 5 years","MORTGAGE","MEDIUM","other","AVERAGE","AVERAGE","YES","NEVER","FEW","NO","MEDIUM","NO","repaid"
"240","HIGH","10+ years","RENT","MEDIUM","vacation","LOW","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"244","MEDIUM","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","repaid"
"245","MEDIUM","2 - 5 years","RENT","HIGH","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"246","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","MANY","NO","MEDIUM","NO","repaid"
"249","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"252","LOW","2 - 5 years","RENT","LOW","debt_consolidation","LOW","AVERAGE","YES","NEVER","FEW","NO","HIGH","NO","default"
"253","MEDIUM","10+ years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","HIGH","NO","NEVER","AVERAGE","NO","LOW","NO","repaid"
"255","MEDIUM","< 2 years","RENT","LOW","debt_consolidation","HIGH","AVERAGE","YES","NEVER","MANY","NO","HIGH","NO","repaid"
"256","MEDIUM","10+ years","RENT","LOW","credit_card","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","default"
"260","LOW","10+ years","MORTGAGE","MEDIUM","other","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","LOW","NO","repaid"
"267","MEDIUM","6 - 9 years","RENT","HIGH","other","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","default"
"271","HIGH","10+ years","RENT","LOW","small_business","AVERAGE","AVERAGE","YES","NEVER","FEW","NO","MEDIUM","NO","default"
"274","MEDIUM","< 2 years","RENT","LOW","debt_consolidation","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","default"
"279","MEDIUM","10+ years","OWN","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","FEW","NO","MEDIUM","NO","default"
"287","LOW","10+ years","MORTGAGE","MEDIUM","debt_consolidation","AVERAGE","LOW","YES","NEVER","MANY","NO","MEDIUM","NO","repaid"
"291","MEDIUM","6 - 9 years","OWN","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","MANY","NO","MEDIUM","NO","repaid"
"292","MEDIUM","10+ years","RENT","MEDIUM","debt_consolidation","HIGH","LOW","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","repaid"
"296","MEDIUM","10+ years","MORTGAGE","MEDIUM","credit_card","LOW","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"300","MEDIUM","2 - 5 years","RENT","MEDIUM","credit_card","AVERAGE","LOW","NO","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"301","HIGH","2 - 5 years","RENT","MEDIUM","small_business","LOW","HIGH","NO","NEVER","AVERAGE","NO","LOW","NO","default"
"302","HIGH","6 - 9 years","OWN","MEDIUM","home_improvement","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"305","HIGH","10+ years","OWN","MEDIUM","debt_consolidation","HIGH","LOW","YES","NEVER","MANY","NO","HIGH","NO","default"
"311","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","AVERAGE","LOW","NO","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"314","MEDIUM","2 - 5 years","RENT","MEDIUM","credit_card","HIGH","AVERAGE","YES","NEVER","MANY","NO","HIGH","NO","default"
"315","HIGH","10+ years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","IN PAST 2 YEARS","AVERAGE","NO","MEDIUM","NO","default"
"316","MEDIUM","2 - 5 years","RENT","LOW","other","AVERAGE","AVERAGE","NO","NEVER","FEW","NO","HIGH","NO","repaid"
"317","LOW","2 - 5 years","RENT","MEDIUM","credit_card","AVERAGE","HIGH","NO","NEVER","AVERAGE","NO","LOW","NO","repaid"
"318","HIGH","10+ years","OWN","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","default"
"319","HIGH","< 2 years","MORTGAGE","MEDIUM","debt_consolidation","LOW","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","default"
"325","LOW","2 - 5 years","RENT","LOW","debt_consolidation","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","default"
"328","HIGH","2 - 5 years","RENT","HIGH","credit_card","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"329","MEDIUM","10+ years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","default"
"334","HIGH","2 - 5 years","MORTGAGE","HIGH","debt_consolidation","LOW","HIGH","NO","NEVER","MANY","NO","MEDIUM","NO","repaid"
"340","MEDIUM","2 - 5 years","RENT","LOW","credit_card","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"341","HIGH","10+ years","MORTGAGE","HIGH","car","LOW","HIGH","YES","NEVER","MANY","NO","LOW","NO","default"
"345","MEDIUM","10+ years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"347","MEDIUM","10+ years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","repaid"
"348","HIGH","6 - 9 years","MORTGAGE","MEDIUM","home_improvement","AVERAGE","LOW","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","repaid"
"349","MEDIUM","2 - 5 years","RENT","LOW","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","default"
"355","MEDIUM","10+ years","OWN","HIGH","major_purchase","LOW","HIGH","YES","NEVER","AVERAGE","NO","LOW","NO","repaid"
"357","MEDIUM","2 - 5 years","RENT","LOW","debt_consolidation","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"358","HIGH","6 - 9 years","MORTGAGE","HIGH","credit_card","HIGH","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","repaid"
"362","LOW","2 - 5 years","RENT","MEDIUM","other","AVERAGE","LOW","YES","IN PAST 2 YEARS","FEW","NO","HIGH","NO","default"
"363","HIGH","10+ years","RENT","MEDIUM","credit_card","HIGH","AVERAGE","NO","NEVER","MANY","NO","HIGH","NO","default"
"366","MEDIUM","2 - 5 years","MORTGAGE","LOW","debt_consolidation","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"377","MEDIUM","2 - 5 years","RENT","LOW","debt_consolidation","LOW","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"381","HIGH","2 - 5 years","OWN","LOW","debt_consolidation","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"382","MEDIUM","< 2 years","RENT","LOW","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","FEW","NO","HIGH","NO","default"
"389","MEDIUM","< 2 years","RENT","LOW","debt_consolidation","LOW","HIGH","NO","NEVER","FEW","NO","LOW","NO","default"
"391","MEDIUM","2 - 5 years","RENT","MEDIUM","credit_card","HIGH","LOW","YES","MORE THAN 2 YEARS AGO","MANY","NO","MEDIUM","NO","repaid"
"393","LOW","< 2 years","RENT","HIGH","debt_consolidation","LOW","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"413","LOW","< 2 years","RENT","LOW","other","LOW","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","default"
"414","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","FEW","NO","HIGH","NO","repaid"
"415","HIGH","10+ years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"418","HIGH","10+ years","MORTGAGE","HIGH","debt_consolidation","HIGH","AVERAGE","NO","NEVER","MANY","NO","HIGH","NO","repaid"
"423","LOW","unemployed","RENT","LOW","major_purchase","LOW","AVERAGE","YES","NEVER","FEW","YES","HIGH","YES","default"
"425","MEDIUM","6 - 9 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","MEDIUM","NO","default"
"430","HIGH","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"431","HIGH","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"434","HIGH","< 2 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","FEW","NO","MEDIUM","NO","default"
"436","HIGH","10+ years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","MANY","NO","MEDIUM","NO","default"
"440","MEDIUM","unemployed","MORTGAGE","LOW","debt_consolidation","AVERAGE","HIGH","YES","NEVER","MANY","NO","LOW","NO","repaid"
"448","HIGH","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","MANY","NO","MEDIUM","NO","repaid"
"450","LOW","2 - 5 years","MORTGAGE","LOW","credit_card","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"455","MEDIUM","10+ years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","repaid"
"459","MEDIUM","2 - 5 years","RENT","MEDIUM","debt_consolidation","LOW","LOW","NO","NEVER","FEW","NO","HIGH","NO","default"
"463","LOW","6 - 9 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","default"
"464","LOW","6 - 9 years","MORTGAGE","HIGH","home_improvement","LOW","HIGH","YES","NEVER","MANY","NO","LOW","NO","repaid"
"465","LOW","10+ years","MORTGAGE","HIGH","other","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","default"
"467","HIGH","< 2 years","RENT","HIGH","small_business","HIGH","LOW","NO","IN PAST 2 YEARS","MANY","NO","HIGH","NO","default"
"470","LOW","6 - 9 years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"473","HIGH","10+ years","MORTGAGE","LOW","debt_consolidation","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"474","LOW","10+ years","RENT","MEDIUM","debt_consolidation","LOW","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"477","MEDIUM","6 - 9 years","RENT","MEDIUM","debt_consolidation","AVERAGE","LOW","YES","NEVER","AVERAGE","NO","HIGH","NO","default"
"480","HIGH","< 2 years","RENT","HIGH","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"481","HIGH","< 2 years","RENT","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","default"
"485","LOW","10+ years","OWN","MEDIUM","debt_consolidation","LOW","AVERAGE","YES","MORE THAN 2 YEARS AGO","FEW","NO","HIGH","NO","default"
"488","MEDIUM","2 - 5 years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","YES","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"489","HIGH","10+ years","RENT","HIGH","credit_card","HIGH","AVERAGE","NO","NEVER","MANY","NO","HIGH","NO","default"
"490","MEDIUM","< 2 years","RENT","MEDIUM","debt_consolidation","HIGH","HIGH","NO","MORE THAN 2 YEARS AGO","MANY","NO","MEDIUM","NO","default"
"493","HIGH","10+ years","MORTGAGE","HIGH","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"497","HIGH","2 - 5 years","OWN","HIGH","debt_consolidation","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","HIGH","NO","default"
"499","MEDIUM","2 - 5 years","RENT","LOW","debt_consolidation","LOW","AVERAGE","YES","NEVER","FEW","NO","HIGH","NO","repaid"
"500","HIGH","10+ years","OWN","MEDIUM","debt_consolidation","HIGH","HIGH","NO","NEVER","AVERAGE","NO","LOW","NO","repaid"
"503","LOW","2 - 5 years","RENT","MEDIUM","other","AVERAGE","AVERAGE","YES","NEVER","FEW","NO","HIGH","NO","repaid"
"506","MEDIUM","< 2 years","RENT","MEDIUM","credit_card","AVERAGE","AVERAGE","YES","NEVER","MANY","NO","HIGH","NO","default"
"508","HIGH","2 - 5 years","RENT","HIGH","debt_consolidation","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"510","MEDIUM","6 - 9 years","RENT","HIGH","credit_card","LOW","AVERAGE","YES","MORE THAN 2 YEARS AGO","MANY","NO","MEDIUM","NO","repaid"
"513","HIGH","10+ years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"515","HIGH","2 - 5 years","RENT","LOW","other","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","MEDIUM","NO","default"
"519","HIGH","< 2 years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","MEDIUM","NO","repaid"
"520","HIGH","2 - 5 years","RENT","MEDIUM","credit_card","AVERAGE","AVERAGE","NO","NEVER","AVERAGE","NO","HIGH","NO","repaid"
"523","MEDIUM","2 - 5 years","OWN","LOW","debt_consolidation","HIGH","AVERAGE","YES","MORE THAN 2 YEARS AGO","FEW","NO","HIGH","NO","repaid"
"524","HIGH","10+ years","RENT","MEDIUM","debt_consolidation","AVERAGE","AVERAGE","YES","NEVER","AVERAGE","NO","HIGH","NO","default"
"527","LOW","6 - 9 years","RENT","LOW","home_improvement","AVERAGE","AVERAGE","YES","MORE THAN 2 YEARS AGO","AVERAGE","NO","LOW","NO","default"
"528","MEDIUM","10+ years","MORTGAGE","MEDIUM","debt_consolidation","HIGH","AVERAGE","NO","MORE THAN 2 YEARS AGO","MANY","NO","MEDIUM","NO","repaid"
"531","HIGH","10+ years","RENT","MEDIUM","credit_card","AVERAGE","AVERAGE","YES","NEVER","FEW","NO","HIGH","NO","repaid"
