,still_customer,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,avg_open_to_buy,total_amt_chng_q4_q1,total_trans_amt,total_trans_ct,total_ct_chng_q4_q1,avg_utilization_ratio
16,yes,47,F,3,High School,Married,Unknown,Silver,31,3,3,2,34516,2517,31999,0.618,2691,42,0.5,0.073
17,no,41,M,2,Graduate,Married,$60K - $80K,Blue,37,1,2,1,3786,1171,2615,0.697,5369,75,0.596,0.309
18,no,56,F,1,Uneducated,Unknown,$40K - $60K,Blue,46,4,3,3,2929,1287,1642,0.497,3875,67,0.595,0.439
19,no,52,M,2,Graduate,Married,$80K - $120K,Blue,36,4,3,2,2866,1882,984,0.803,4850,84,0.826,0.657
20,no,37,F,2,Graduate,Divorced,Less than $40K,Blue,36,4,3,3,1734,987,747,0.879,4727,67,0.914,0.569
21,no,46,M,4,Graduate,Married,$80K - $120K,Blue,33,5,1,3,16227,917,15310,0.479,4314,67,0.634,0.057
22,yes,54,F,2,Graduate,Unknown,Less than $40K,Blue,46,5,3,2,1695,913,782,0.449,2130,48,0.5,0.539
23,yes,48,M,4,Unknown,Single,$80K - $120K,Blue,36,3,3,3,32838,1717,31121,0.995,2538,42,0.4,0.052
24,no,49,M,2,Uneducated,Married,$80K - $120K,Blue,39,2,3,1,15894,1293,14601,0.693,14256,118,0.735,0.081
25,no,35,M,2,Uneducated,Unknown,$120K +,Blue,29,5,1,2,3300,1731,1569,0.689,1745,27,0.929,0.525
26,yes,38,M,2,Graduate,Single,$120K +,Blue,36,5,2,1,34516,1229,33287,0.427,1797,35,0.296,0.036
27,no,35,F,1,Graduate,Single,Less than $40K,Blue,23,4,3,3,2640,1051,1589,0.833,3116,80,0.6,0.398
28,no,52,M,1,Unknown,Married,$80K - $120K,Silver,36,6,1,0,34516,1847,32669,0.527,3284,65,0.477,0.054
29,no,38,F,1,Graduate,Single,Less than $40K,Blue,22,3,3,3,2484,2149,335,0.669,1200,28,0.647,0.865
30,no,49,F,4,Uneducated,Married,Unknown,Blue,38,4,2,1,2542,850,1692,0.723,4972,79,0.717,0.334
31,no,42,M,3,College,Single,$80K - $120K,Silver,26,3,2,2,34516,904,33612,0.726,3910,68,0.659,0.026
32,no,54,F,3,High School,Married,Less than $40K,Blue,42,4,2,3,1438.3,1108,330.3,0.782,4776,90,0.765,0.77
33,yes,47,F,3,Graduate,Unknown,Unknown,Blue,33,1,3,4,3443,0,3443,0.832,2505,45,0.452,0
34,no,53,M,1,Unknown,Married,$40K - $60K,Blue,41,5,1,3,2885,1433,1452,1.017,1170,23,0.769,0.497
35,no,27,F,1,College,Divorced,Less than $40K,Blue,15,5,3,2,2166,890,1276,1.024,3563,70,0.892,0.411
36,no,48,F,3,Uneducated,Single,Unknown,Blue,40,3,4,4,2827,1182,1645,0.902,4583,72,1,0.418
37,no,54,M,1,Unknown,Single,$60K - $80K,Blue,48,4,5,4,4752,1230,3522,0.883,15678,103,0.717,0.259
38,no,42,M,4,Uneducated,Divorced,$60K - $80K,Blue,32,4,1,2,5504,0,5504,0.62,1364,32,0.684,0
39,no,35,F,2,High School,Married,Unknown,Blue,36,3,2,4,4319,1151,3168,0.594,1852,47,0.424,0.266
40,no,48,F,3,College,Single,$40K - $60K,Blue,37,6,3,1,1438.3,0,1438.3,0.777,5035,76,0.767,0
41,no,49,F,3,Graduate,Married,Less than $40K,Blue,43,2,3,2,2174,785,1389,0.657,3890,78,0.66,0.361
42,no,41,F,3,College,Married,Less than $40K,Blue,37,3,1,2,1438.3,765,673.3,0.644,4053,66,0.692,0.532
43,no,40,F,3,Graduate,Single,Less than $40K,Blue,28,6,2,2,1709,0,1709,0.685,4981,79,0.975,0
44,no,43,M,2,High School,Single,$60K - $80K,Blue,35,5,2,2,1849,1293,556,0.835,4678,71,0.972,0.699
45,no,44,F,2,Graduate,Unknown,Less than $40K,Blue,34,3,2,2,2561,1491,1070,0.733,4869,70,0.522,0.582
46,no,54,M,2,Post-Graduate,Married,$60K - $80K,Platinum,42,1,3,1,34516,1996,32520,0.988,15033,114,0.81,0.058
47,yes,39,F,4,College,Single,$40K - $60K,Blue,36,3,2,3,1776,0,1776,0.518,2201,31,0.292,0
48,no,45,M,5,High School,Married,$80K - $120K,Blue,25,1,3,3,25601,1384,24217,0.745,12896,100,0.852,0.054
49,no,55,M,4,High School,Single,$60K - $80K,Blue,51,4,1,4,2001,1553,448,0.482,1910,51,0.7,0.776
50,no,47,F,4,Graduate,Married,Unknown,Blue,42,4,1,3,16349,1925,14424,0.833,16207,114,0.81,0.118
51,no,45,F,3,Unknown,Married,$40K - $60K,Blue,31,5,5,3,2016,1303,713,0.599,3243,63,0.615,0.646
52,no,50,M,3,Graduate,Single,$60K - $80K,Blue,44,4,2,3,23090,839,22251,1.326,1198,24,1,0.036
53,no,43,M,3,Uneducated,Married,$80K - $120K,Blue,36,1,3,2,4654,1349,3305,0.81,4277,71,0.69,0.29
54,no,56,M,2,High School,Unknown,$80K - $120K,Blue,36,1,1,1,4731,831,3900,0.96,14952,118,0.788,0.176
55,no,50,F,2,Graduate,Single,Unknown,Blue,41,5,2,4,4846,2490,2356,0.788,3724,61,0.605,0.514
56,no,45,M,2,College,Married,$60K - $80K,Blue,34,1,1,2,17646,1396,16250,0.851,15527,106,0.893,0.079
57,no,61,M,0,High School,Single,$60K - $80K,Blue,53,1,3,3,2415,2050,365,0.499,4479,71,0.69,0.849
58,no,47,M,3,Graduate,Single,$120K +,Blue,36,6,2,4,34516,933,33583,0.946,1804,32,0.6,0.027
59,no,32,M,1,High School,Married,$40K - $60K,Blue,26,3,2,3,2576,1754,822,1.027,2880,69,0.468,0.681
60,no,53,F,4,Graduate,Single,Unknown,Gold,41,5,1,2,34516,2374,32142,0.81,4390,77,0.604,0.069
61,no,56,F,4,Graduate,Married,Less than $40K,Blue,36,3,5,2,2796,0,2796,0.884,4536,81,0.723,0
62,no,48,F,2,Graduate,Married,$40K - $60K,Silver,41,6,3,1,16002,2076,13926,0.293,3667,52,1.167,0.13
63,no,36,M,3,Uneducated,Married,$60K - $80K,Blue,16,4,5,4,1686,1252,434,0.575,1758,42,1.1,0.743
64,no,41,M,3,Uneducated,Single,$80K - $120K,Blue,28,1,3,3,7142,1917,5225,0.727,7892,83,0.729,0.268
65,no,47,M,1,Graduate,Married,$60K - $80K,Blue,40,2,2,3,11773,0,11773,0.754,5098,58,1.071,0
66,no,41,F,2,High School,Married,Less than $40K,Blue,36,6,2,2,4953,991,3962,0.342,4183,67,0.489,0.2
67,no,38,F,2,High School,Single,Less than $40K,Blue,20,4,3,3,2420,676,1744,0.782,3770,76,0.81,0.279
68,no,53,F,1,Unknown,Unknown,Less than $40K,Blue,43,2,2,2,3629,2517,1112,0.735,14205,102,0.759,0.694
69,no,39,F,2,Uneducated,Single,Less than $40K,Blue,35,5,3,3,9235,1479,7756,0.843,1537,49,0.581,0.16
70,no,45,F,4,Post-Graduate,Single,$40K - $60K,Blue,35,3,5,2,1850,621,1229,0.682,4234,74,0.682,0.336
71,no,53,M,2,High School,Single,$60K - $80K,Blue,49,2,3,2,4142,2252,1890,0.714,15078,117,0.746,0.544
72,no,38,F,2,Graduate,Single,Unknown,Blue,31,2,3,2,14041,2154,11887,1.084,1467,29,1.417,0.153
73,no,39,F,2,Graduate,Married,Less than $40K,Blue,26,3,1,2,4531,1214,3317,0.813,1414,40,0.333,0.268
74,no,56,F,4,Doctorate,Single,$40K - $60K,Blue,44,4,2,3,3455,1385,2070,0.773,4925,82,0.745,0.401
75,no,47,F,4,College,Married,Less than $40K,Blue,38,3,1,2,2633,1924,709,0.806,3407,66,0.535,0.731
76,no,42,F,2,Graduate,Married,Less than $40K,Blue,37,4,2,1,2250,1788,462,0.523,4908,71,1.152,0.795
77,no,31,F,0,High School,Married,Less than $40K,Blue,22,4,2,1,3273,2517,756,1.465,2726,57,0.727,0.769
78,yes,55,F,2,Graduate,Married,Less than $40K,Silver,45,6,3,3,12207,0,12207,0.319,5838,74,1.056,0
79,no,42,F,1,Graduate,Single,Less than $40K,Blue,36,4,3,1,3595,1904,1691,0.891,5025,84,0.647,0.53
80,no,41,M,3,Post-Graduate,Divorced,$120K +,Blue,29,6,1,3,3491,2506,985,0.873,4855,79,0.58,0.718
81,no,61,M,1,Graduate,Married,$40K - $60K,Blue,50,6,2,4,2531,2360,171,0.955,1263,35,0.591,0.932
82,no,45,F,4,Graduate,Married,Unknown,Blue,35,6,3,0,2801,2043,758,0.583,1241,46,0.643,0.729
83,no,46,M,3,High School,Married,$80K - $120K,Blue,36,6,3,3,2790,2185,605,0.671,3392,86,0.755,0.783
84,no,39,F,3,Doctorate,Unknown,$40K - $60K,Blue,28,5,3,0,7262,1466,5796,0.512,1438,28,0.556,0.202
85,no,36,F,2,Graduate,Single,Less than $40K,Blue,36,6,4,0,2051,1154,897,0.605,3912,79,0.717,0.563
86,no,55,F,3,College,Single,Less than $40K,Blue,42,5,2,1,1438.3,0,1438.3,0.612,4660,87,0.891,0
87,no,46,F,2,Graduate,Single,Unknown,Blue,31,5,2,3,8243,927,7316,0.568,4503,90,0.765,0.112
88,no,45,F,3,Post-Graduate,Divorced,Less than $40K,Blue,28,3,4,3,5216,1519,3697,0.887,3434,49,0.69,0.291
89,no,54,F,4,College,Single,Unknown,Blue,48,3,2,2,9723,1307,8416,0.803,4043,76,0.9,0.134
90,no,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100,0,10100,0.525,1052,18,1.571,0
91,no,26,F,1,High School,Single,Less than $40K,Blue,13,3,2,3,2404,1198,1206,0.501,2692,63,0.5,0.498
92,no,39,M,5,College,Married,$80K - $120K,Blue,29,3,3,4,34198,1804,32394,0.934,4270,59,0.639,0.053
93,no,33,F,2,Uneducated,Unknown,Less than $40K,Blue,21,5,1,4,1475,986,489,0.896,1896,33,0.833,0.668
94,no,56,M,1,Uneducated,Married,$80K - $120K,Blue,36,6,1,1,9031,1535,7496,0.69,1602,35,0.591,0.17
95,no,53,F,2,Post-Graduate,Single,Unknown,Blue,41,2,2,3,15101,1396,13705,0.692,13545,96,0.655,0.092
96,no,38,M,2,Unknown,Married,$40K - $60K,Blue,31,3,2,2,2919,2192,727,1.073,2399,57,0.966,0.751
97,no,51,M,3,Graduate,Married,$80K - $120K,Blue,39,1,2,1,7088,1750,5338,0.618,4691,76,0.727,0.247
98,no,44,M,4,Unknown,Married,$60K - $80K,Blue,38,3,1,3,2440,1501,939,0.744,4382,88,0.66,0.615
99,yes,47,F,1,Graduate,Married,$40K - $60K,Blue,35,3,3,5,1438.3,0,1438.3,0.809,2276,40,0.538,0
100,no,44,M,2,Uneducated,Single,$40K - $60K,Blue,28,3,1,2,11627,0,11627,0.638,3264,67,0.396,0
101,no,38,F,4,College,Single,Less than $40K,Blue,27,2,3,3,1438.3,0,1438.3,0.721,4564,79,0.717,0
102,yes,42,F,4,High School,Married,Less than $40K,Blue,32,6,3,3,3454,0,3454,0.862,2826,39,0.625,0
103,no,38,F,2,Graduate,Married,Less than $40K,Blue,31,6,3,3,3222,0,3222,0.786,5154,80,0.778,0
104,no,46,F,3,Graduate,Divorced,Unknown,Blue,36,1,3,2,3515,0,3515,0.876,15079,116,0.841,0
105,no,52,F,3,Unknown,Married,Less than $40K,Blue,38,1,2,3,3281,911,2370,0.665,4431,67,1.094,0.278
106,no,48,M,4,Graduate,Married,$80K - $120K,Blue,34,1,1,1,34516,738,33778,0.719,15143,121,0.635,0.021
107,yes,30,M,2,Graduate,Married,Less than $40K,Silver,18,1,1,3,10017,726,9291,0.924,9299,68,0.619,0.072
108,no,60,F,1,Graduate,Single,$40K - $60K,Blue,42,3,2,1,3334,1151,2183,0.752,4791,101,0.629,0.345
109,no,46,M,2,Graduate,Married,$60K - $80K,Blue,34,4,2,0,9451,1280,8171,0.681,3179,79,0.975,0.135
110,no,40,F,4,Post-Graduate,Single,$40K - $60K,Blue,28,2,1,2,11642,1501,10141,0.935,9137,92,0.586,0.129
111,no,41,M,3,High School,Married,$80K - $120K,Blue,35,6,1,2,34516,1202,33314,0.603,1353,33,0.737,0.035
112,no,52,F,4,Graduate,Married,Less than $40K,Blue,45,1,1,3,3705,2168,1537,0.662,4452,89,0.894,0.585
113,no,46,M,2,College,Single,$80K - $120K,Blue,41,4,2,0,21526,2332,19194,0.755,1313,37,0.609,0.108
114,no,40,F,3,College,Single,Less than $40K,Blue,33,5,3,1,7207,2002,5205,0.828,3825,70,0.707,0.278
115,no,31,F,0,Uneducated,Divorced,Less than $40K,Silver,23,2,2,1,10850,1873,8977,0.995,13794,127,0.789,0.173
116,no,46,F,4,Graduate,Divorced,$40K - $60K,Blue,39,3,1,1,2477,1480,997,0.826,5138,77,0.974,0.597
117,no,34,F,3,Graduate,Married,Less than $40K,Blue,23,5,3,3,2263,1794,469,0.794,2154,37,0.542,0.793
118,no,50,F,4,College,Married,Unknown,Blue,36,6,4,3,3862,0,3862,0.578,4058,81,0.723,0
119,yes,49,M,2,Graduate,Unknown,$80K - $120K,Blue,38,3,4,3,34516,0,34516,0.482,1592,35,0.346,0
120,yes,47,F,2,High School,Married,Less than $40K,Blue,39,5,3,3,3899,0,3899,0.718,2182,40,0.429,0
121,no,45,M,3,High School,Married,$40K - $60K,Silver,33,3,2,1,16928,1519,15409,0.894,3355,66,0.886,0.09
122,no,33,M,2,Unknown,Single,$120K +,Blue,15,4,2,2,25033,2300,22733,0.716,2529,71,0.578,0.092
123,no,61,M,0,High School,Married,$80K - $120K,Blue,50,4,1,3,2800,2448,352,0.549,1433,40,0.481,0.874
124,no,36,M,4,Doctorate,Married,$60K - $80K,Blue,17,5,2,4,2803,1848,955,0.614,1968,64,0.524,0.659
125,no,55,F,2,Unknown,Married,Unknown,Blue,50,6,1,4,11341,0,11341,0.412,1731,46,0.586,0
126,no,50,M,0,High School,Married,$80K - $120K,Blue,30,3,4,2,4252,0,4252,0.478,1598,45,0.324,0
127,no,51,F,2,Unknown,Married,Less than $40K,Blue,39,3,1,2,6462,2517,3945,0.842,4156,77,0.833,0.39
128,yes,56,F,1,High School,Single,Less than $40K,Blue,48,1,5,2,3556,0,3556,0.596,2220,45,0.731,0
129,no,57,M,2,Unknown,Single,$80K - $120K,Blue,36,3,3,2,3127,2517,610,0.589,1470,30,1.143,0.805
130,no,41,F,3,Uneducated,Single,Unknown,Blue,29,6,3,3,2429,1966,463,1.046,4775,84,0.787,0.809
131,no,31,M,1,Unknown,Married,Less than $40K,Blue,36,3,3,3,1868,1515,353,1.359,2229,35,0.667,0.811
132,no,39,F,2,Unknown,Single,Unknown,Blue,28,6,2,2,1493,792,701,0.688,4131,80,0.702,0.53
133,yes,42,F,2,Post-Graduate,Single,$40K - $60K,Blue,34,3,3,3,5667,812,4855,0.62,2064,42,0.4,0.143
134,no,38,M,1,Uneducated,Unknown,$120K +,Blue,21,4,2,3,28043,1786,26257,0.802,14521,109,0.847,0.064
135,no,51,F,1,Graduate,Married,Less than $40K,Blue,40,3,3,0,2774,1362,1412,0.866,4802,91,0.685,0.491
136,no,42,M,3,Uneducated,Unknown,Less than $40K,Blue,35,4,5,0,6218,2134,4084,1.25,2086,50,0.786,0.343
137,no,37,M,2,High School,Single,$60K - $80K,Blue,21,5,2,2,3433,964,2469,0.526,4444,87,0.642,0.281
138,no,43,M,3,Graduate,Married,$120K +,Blue,33,3,1,3,34516,2129,32387,0.587,1463,38,0.583,0.062
139,no,44,F,5,Unknown,Single,Less than $40K,Blue,24,4,3,3,2003,1224,779,0.646,1756,42,0.355,0.611
140,no,56,F,1,College,Married,Less than $40K,Blue,36,6,2,3,2641,1257,1384,0.891,1439,39,1.053,0.476
141,no,43,M,3,Graduate,Single,$60K - $80K,Blue,30,3,2,4,19711,0,19711,1.037,3602,72,1,0
142,no,45,F,1,Unknown,Married,Less than $40K,Blue,33,6,3,2,1438.3,1201,237.3,0.749,4851,86,0.72,0.835
143,no,48,M,4,High School,Unknown,$60K - $80K,Blue,30,3,3,2,14670,1900,12770,0.806,4221,83,0.766,0.13
144,no,47,M,3,Uneducated,Married,$60K - $80K,Blue,36,2,3,1,11919,2347,9572,0.842,8257,96,0.574,0.197
145,no,57,F,3,High School,Single,Less than $40K,Blue,53,1,3,2,3029,2214,815,0.7,4750,89,0.978,0.731
146,no,45,M,4,Uneducated,Single,$80K - $120K,Blue,35,2,2,2,11318,2082,9236,0.733,7179,93,0.632,0.184
147,no,48,F,2,Doctorate,Married,$40K - $60K,Blue,36,1,2,2,9074,1648,7426,0.727,14084,110,0.803,0.182
148,yes,43,F,3,High School,Divorced,Less than $40K,Blue,38,3,3,3,7084,0,7084,0.523,2287,44,0.294,0
149,no,46,F,0,Graduate,Single,Unknown,Blue,34,6,1,2,9216,2059,7157,0.763,3630,78,0.56,0.223
150,yes,55,F,3,High School,Single,$40K - $60K,Blue,47,5,4,3,2687,1689,998,0.714,2370,34,0.789,0.629
151,no,30,M,0,College,Married,$60K - $80K,Blue,25,2,3,1,19534,0,19534,0.616,15634,118,0.639,0
152,no,47,M,2,Uneducated,Single,$80K - $120K,Blue,36,3,2,2,34516,1264,33252,0.774,7827,77,0.54,0.037
153,no,50,M,1,Unknown,Married,$80K - $120K,Blue,45,5,2,2,33951,0,33951,0.822,1567,44,0.467,0
154,no,45,M,4,College,Divorced,$80K - $120K,Blue,37,6,5,1,1535,0,1535,0.77,5168,76,0.81,0
155,no,40,F,4,Unknown,Single,Less than $40K,Blue,32,6,1,1,2594,2159,435,0.792,3872,71,0.511,0.832
156,no,35,F,0,Unknown,Married,Less than $40K,Blue,22,2,2,3,3009,2517,492,0.735,5329,82,0.745,0.836
157,no,35,M,2,Uneducated,Single,$60K - $80K,Blue,21,4,3,3,7766,1278,6488,0.806,2423,74,0.609,0.165
158,no,37,F,1,High School,Single,Unknown,Blue,36,3,2,3,6730,1093,5637,1.01,4814,89,0.854,0.162
159,no,35,M,3,Graduate,Single,$40K - $60K,Silver,17,6,3,2,16659,0,16659,1.012,2551,74,0.609,0
160,no,51,M,1,Unknown,Married,$60K - $80K,Blue,36,3,2,4,22224,979,21245,1.255,3346,69,1.156,0.044
161,yes,57,F,3,Uneducated,Single,Less than $40K,Blue,51,3,0,3,1438.3,0,1438.3,0.429,2113,38,0.267,0
162,no,52,M,2,Graduate,Single,$120K +,Blue,37,2,3,2,14543,0,14543,0.788,1536,37,0.423,0
163,no,62,F,0,Graduate,Single,Unknown,Blue,45,2,2,3,10503,0,10503,0.886,4755,88,0.725,0
164,no,49,F,4,High School,Married,Less than $40K,Blue,42,4,1,4,2473,1263,1210,0.71,4597,80,0.6,0.511
165,no,55,M,2,Graduate,Single,$80K - $120K,Blue,46,5,5,2,4994,0,4994,0.717,4802,81,0.761,0
166,no,49,M,2,Doctorate,Divorced,$80K - $120K,Blue,36,3,3,1,25178,1803,23375,0.767,7836,87,0.582,0.072
167,yes,47,M,3,Unknown,Unknown,$120K +,Blue,36,1,3,4,3952,0,3952,0.809,2066,37,0.233,0
168,no,61,M,1,Uneducated,Single,$60K - $80K,Blue,46,5,3,2,2201,1138,1063,0.675,1199,32,0.6,0.517
169,no,42,M,3,High School,Single,$40K - $60K,Blue,37,3,3,3,2247,1045,1202,0.952,1300,31,0.55,0.465
170,no,37,F,2,High School,Single,Less than $40K,Blue,36,6,2,4,3586,1414,2172,0.745,2780,57,0.727,0.394
171,no,33,F,3,Uneducated,Married,Less than $40K,Blue,16,6,1,4,2042,1864,178,1.318,2758,50,0.852,0.913
172,no,40,F,2,Uneducated,Single,Less than $40K,Blue,27,2,6,2,1965,0,1965,0.608,4268,91,0.857,0
173,yes,56,M,1,Graduate,Married,$80K - $120K,Blue,50,3,6,3,8688,0,8688,0.426,2361,41,0.464,0
174,no,59,F,1,College,Unknown,Less than $40K,Blue,49,6,5,4,4072,0,4072,0.464,1966,43,1.15,0
175,yes,43,F,4,Graduate,Single,Less than $40K,Blue,32,4,3,1,3015,0,3015,1.058,5372,75,0.596,0
176,no,51,F,1,Graduate,Single,Less than $40K,Blue,37,4,3,4,4402,697,3705,0.7,3325,76,0.652,0.158
177,yes,49,F,3,High School,Married,Unknown,Silver,36,2,3,3,34516,1273,33243,0.977,4777,51,0.457,0.037
178,no,49,F,2,Unknown,Single,Less than $40K,Blue,44,5,2,3,9797,998,8799,0.886,15013,116,0.841,0.102
179,no,43,F,3,Doctorate,Married,Less than $40K,Blue,29,4,2,3,3186,2517,669,0.59,4197,84,0.909,0.79
180,no,41,F,4,High School,Single,Less than $40K,Blue,31,3,1,0,5773,0,5773,0.67,1306,39,0.5,0
181,no,59,M,0,Graduate,Single,$60K - $80K,Blue,53,4,2,2,4386,2505,1881,0.806,4064,65,0.806,0.571
182,no,45,F,3,High School,Single,Less than $40K,Blue,34,2,3,2,2976,2372,604,0.772,4799,83,0.729,0.797
183,no,50,M,2,High School,Single,$60K - $80K,Blue,40,6,2,2,5180,1211,3969,0.809,3447,74,0.85,0.234
184,no,44,F,4,College,Married,Less than $40K,Blue,36,6,3,2,1438.3,0,1438.3,0.651,4257,89,0.648,0
185,no,54,F,3,High School,Married,Less than $40K,Blue,36,1,1,1,3173,1822,1351,0.801,4883,71,0.614,0.574
186,no,55,F,2,College,Married,Less than $40K,Blue,45,5,2,4,1850,942,908,0.757,4134,78,0.625,0.509
187,no,47,F,4,Graduate,Married,Less than $40K,Blue,39,3,3,2,3144,0,3144,0.561,3774,80,0.818,0
188,yes,53,M,4,Graduate,Married,$120K +,Blue,38,5,2,3,34516,0,34516,0.854,8417,72,0.714,0
189,yes,56,F,5,Unknown,Single,Less than $40K,Blue,36,6,3,5,4668,2517,2151,1.062,8331,63,0.853,0.539
190,yes,43,F,3,High School,Single,$40K - $60K,Blue,34,1,3,2,1654,1474,180,0.586,2086,47,0.621,0.891
191,no,29,M,0,Graduate,Married,Less than $40K,Blue,15,3,1,5,4700,0,4700,0.617,14723,96,0.655,0
192,no,47,F,3,Unknown,Single,Less than $40K,Blue,36,4,1,4,2798,1963,835,0.805,4255,64,0.561,0.702
193,no,37,F,1,College,Single,$40K - $60K,Blue,32,4,2,3,1976,0,1976,0.812,4424,73,0.659,0
194,no,47,F,3,Unknown,Single,Unknown,Blue,40,1,3,0,7114,1637,5477,0.699,4758,81,0.5,0.23
195,no,45,F,2,Graduate,Single,Unknown,Blue,36,4,1,1,1785,0,1785,0.649,4964,82,0.907,0
196,no,49,F,2,Uneducated,Married,Less than $40K,Blue,36,3,4,1,2505,0,2505,0.62,4109,61,0.743,0
197,yes,38,M,3,College,Single,$40K - $60K,Blue,19,1,2,4,3458,321,3137,0.586,2256,40,0.29,0.093
198,yes,37,M,2,Graduate,Single,$120K +,Blue,25,3,3,0,5616,0,5616,0.995,1564,31,0.476,0
199,no,38,F,4,Graduate,Married,Less than $40K,Blue,36,4,3,3,1860,0,1860,0.992,1731,29,0.611,0
200,no,35,F,0,Unknown,Married,Less than $40K,Blue,24,6,1,1,2592,2227,365,0.633,1695,48,0.548,0.859
201,yes,40,F,3,Graduate,Married,Unknown,Blue,25,1,2,3,6888,1878,5010,1.059,9038,64,0.829,0.273
202,yes,45,M,5,College,Single,$40K - $60K,Blue,36,4,3,3,4982,0,4982,0.886,8586,58,1,0
203,no,50,F,1,High School,Married,Less than $40K,Blue,44,4,2,1,3222,1422,1800,0.662,4613,72,0.6,0.441
204,no,65,M,1,High School,Single,Less than $40K,Blue,54,3,1,3,4599,1438,3161,0.832,4208,69,0.865,0.313
205,no,44,F,3,Graduate,Single,Unknown,Blue,37,3,2,1,4703,1555,3148,0.932,4127,89,0.648,0.331
206,no,42,F,3,Uneducated,Divorced,Less than $40K,Blue,28,6,2,4,2029,1377,652,0.838,4014,86,0.686,0.679
207,no,39,M,4,High School,Married,$80K - $120K,Blue,25,6,2,3,8208,0,8208,1.568,3135,39,1.167,0
208,no,44,M,1,Graduate,Married,$80K - $120K,Gold,29,2,1,3,34516,942,33574,0.75,7665,86,0.593,0.027
209,no,37,M,3,High School,Married,$60K - $80K,Blue,32,6,2,2,2253,1667,586,0.884,1641,45,0.667,0.74
210,yes,38,F,2,Graduate,Unknown,Less than $40K,Blue,36,2,3,2,2369,0,2369,0.51,1924,48,0.548,0
211,no,42,M,3,Graduate,Married,$40K - $60K,Gold,36,3,2,5,23981,1399,22582,0.712,14840,125,0.761,0.058
212,no,56,M,1,Graduate,Married,$120K +,Blue,48,6,3,4,2585,1207,1378,0.44,1590,33,0.32,0.467
213,no,29,M,1,Graduate,Married,Less than $40K,Blue,18,4,1,4,2710,629,2081,0.771,1718,37,0.762,0.232
214,no,49,F,3,Post-Graduate,Married,$40K - $60K,Blue,36,5,2,1,1994,0,1994,0.829,4434,69,0.568,0
215,no,56,F,2,Uneducated,Single,$40K - $60K,Blue,48,6,2,2,2941,1619,1322,0.9,5000,87,0.673,0.55
216,no,46,M,2,High School,Married,$40K - $60K,Blue,40,3,3,0,3981,0,3981,0.626,14340,114,0.781,0
217,yes,46,F,3,Graduate,Married,Less than $40K,Blue,34,3,3,1,1438.3,0,1438.3,0.714,2658,43,0.654,0
218,no,41,M,4,Graduate,Unknown,$40K - $60K,Blue,24,4,2,2,1605,0,1605,0.637,4418,68,0.659,0
219,no,40,F,3,Uneducated,Single,Less than $40K,Blue,30,5,1,2,1625,912,713,0.877,3968,73,0.698,0.561
220,no,59,M,0,Unknown,Married,Less than $40K,Blue,51,5,3,4,1570,1028,542,0.742,1430,28,1.333,0.655
