,HitPoints,Attack,Defense,SpecialAttack,SpecialDefense,Speed
182,40,60,40,40,40,30
183,70,90,70,60,60,40
184,85,90,80,70,80,130
185,75,38,38,56,56,67
186,125,58,58,76,76,67
187,20,40,15,35,35,60
188,50,25,28,45,55,15
189,90,30,15,40,20,15
190,35,20,65,40,65,20
191,55,40,85,80,105,40
192,40,50,45,70,45,70
193,65,75,70,95,70,95
194,55,40,40,65,45,35
195,70,55,55,80,60,45
196,90,75,85,115,90,55
197,90,95,105,165,110,45
198,75,80,95,90,100,50
199,70,20,50,20,50,40
200,100,50,80,60,80,50
201,70,100,115,30,65,30
202,90,75,75,90,100,70
203,35,35,40,35,55,50
204,55,45,50,45,65,80
205,75,55,70,55,95,110
206,55,70,55,40,55,85
207,30,30,30,30,30,30
208,75,75,55,105,85,30
209,65,65,45,75,45,95
210,55,45,45,25,25,15
211,95,85,85,65,65,35
212,65,65,60,130,95,110
213,95,65,110,60,130,65
214,60,85,42,85,42,91
215,95,75,80,100,110,30
216,60,60,60,85,85,85
217,48,72,48,72,48,48
218,190,33,58,33,58,33
219,70,80,65,90,65,85
220,50,65,90,35,35,15
221,75,90,140,60,60,40
222,100,70,70,65,65,45
223,65,75,105,35,65,85
224,75,85,200,55,65,30
225,75,125,230,55,95,30
226,60,80,50,40,40,30
227,90,120,75,60,60,45
228,65,95,75,55,55,85
229,70,130,100,55,80,65
230,70,150,140,65,100,75
231,20,10,230,10,230,5
232,80,125,75,40,95,85
233,80,185,115,40,105,75
234,55,95,55,35,75,115
235,60,80,50,50,50,40
236,90,130,75,75,75,55
237,40,40,40,70,40,20
238,50,50,120,80,80,30
239,50,50,40,30,30,50
240,100,100,80,60,60,50
241,55,55,85,65,85,35
242,35,65,35,65,35,65
243,75,105,75,105,75,45
244,45,55,45,65,45,75
245,65,40,70,80,140,70
246,65,80,140,40,70,70
247,45,60,30,80,50,65
248,75,90,50,110,80,95
249,75,90,90,140,90,115
250,75,95,95,95,95,85
251,90,60,60,40,40,40
252,90,120,120,60,60,50
253,85,80,90,105,95,60
254,73,95,62,85,65,85
255,55,20,35,20,45,75
256,35,35,35,35,35,35
257,50,95,95,35,110,70
258,45,30,15,85,65,65
259,45,63,37,65,55,95
260,45,75,37,70,55,83
261,95,80,105,40,70,100
262,255,10,10,75,135,55
263,90,85,75,115,100,115
264,115,115,85,90,75,100
265,100,75,115,90,115,85
266,50,64,50,45,50,41
267,70,84,70,65,70,51
268,100,134,110,95,100,61
269,100,164,150,95,120,71
270,106,90,130,90,154,110
271,106,130,90,110,154,90
272,100,100,100,100,100,100
273,40,45,35,65,55,70
274,50,65,45,85,65,95
275,70,85,65,105,85,120
276,70,110,75,145,85,145
277,45,60,40,70,50,45
278,60,85,60,85,60,55
279,80,120,70,110,70,80
280,80,160,80,130,80,100
281,50,70,50,50,50,40
282,70,85,70,60,70,50
283,100,110,90,85,90,60
284,100,150,110,95,110,70
285,35,55,35,30,30,35
286,70,90,70,60,60,70
287,38,30,41,30,41,60
288,78,70,61,50,61,100
289,45,45,35,20,30,20
290,50,35,55,25,25,15
291,60,70,50,100,50,65
292,50,35,55,25,25,15
293,60,50,70,50,90,65
294,40,30,30,40,50,30
295,60,50,50,60,70,50
296,80,70,70,90,100,70
297,40,40,50,30,30,30
298,70,70,40,60,40,60
299,90,100,60,90,60,80
300,40,55,30,30,30,85
301,60,85,60,50,50,125
302,40,30,30,55,30,85
303,60,50,100,85,70,65
304,28,25,25,45,35,40
305,38,35,35,65,55,50
306,68,65,65,125,115,80
307,68,85,65,165,135,100
308,40,30,32,50,52,65
309,70,60,62,80,82,60
310,60,40,60,40,60,35
311,60,130,80,60,60,70
312,60,60,60,35,35,30
313,80,80,80,55,55,90
314,150,160,100,95,65,100
315,31,45,90,30,30,40
316,61,90,45,50,50,160
317,1,90,45,30,30,40
318,64,51,23,51,23,28
319,84,71,43,71,43,48
320,104,91,63,91,73,68
321,72,60,30,20,30,25
322,144,120,60,40,60,50
323,50,20,40,20,40,20
324,30,45,135,45,90,30
325,50,45,45,35,35,50
326,70,65,65,55,55,70
327,50,75,75,65,65,50
328,50,85,125,85,115,20
329,50,85,85,55,55,50
330,50,105,125,55,95,50
331,50,70,100,40,40,30
332,60,90,140,50,50,40
333,70,110,180,60,60,50
334,70,140,230,60,80,50
335,30,40,55,40,55,60
336,60,60,75,60,75,80
337,60,100,85,80,85,100
338,40,45,40,65,40,65
339,70,75,60,105,60,105
340,70,75,80,135,80,135
341,60,50,40,85,75,95
342,60,40,50,75,85,95
343,65,73,55,47,75,85
344,65,47,55,73,75,85
345,50,60,45,100,80,65
346,70,43,53,43,53,40
347,100,73,83,73,83,55
348,45,90,20,65,20,65
349,70,120,40,95,40,95
350,70,140,70,110,65,105
351,130,70,35,70,35,60
352,170,90,45,90,45,60
353,60,60,40,65,45,35
354,70,100,70,105,75,40
355,70,120,100,145,105,20
356,70,85,140,85,70,20
357,60,25,35,70,80,60
358,80,45,65,90,110,80
359,60,60,60,60,60,60
360,45,100,45,45,45,10
361,50,70,50,50,50,70
362,80,100,80,80,80,100
363,50,85,40,85,40,35
364,70,115,60,115,60,55
365,45,40,60,40,75,50
366,75,70,90,70,105,80
367,75,110,110,110,105,80
368,73,115,60,60,60,90
369,73,100,60,100,60,65
370,70,55,65,95,85,70
371,70,95,85,55,65,70
372,50,48,43,46,41,60
373,110,78,73,76,71,60
374,43,80,65,50,35,35
375,63,120,85,90,55,55
376,40,40,55,40,70,55
377,60,70,105,70,120,75
378,66,41,77,61,87,23
379,86,81,97,81,107,43
380,45,95,50,40,50,75
381,75,125,100,70,80,45
382,20,15,20,10,55,80
383,95,60,79,100,125,81
384,70,70,70,70,70,70
385,60,90,70,60,120,40
386,44,75,35,63,33,45
387,64,115,65,83,63,65
388,64,165,75,93,83,75
389,20,40,90,30,90,25
390,40,70,130,60,130,25
391,99,68,83,72,87,51
392,65,50,70,95,80,65
393,65,130,60,75,60,75
394,65,150,60,115,60,115
395,95,23,48,23,48,23
396,50,50,50,50,50,50
397,80,80,80,80,80,80
398,80,120,80,120,80,100
399,70,40,50,55,50,25
400,90,60,70,75,70,45
401,110,80,90,95,90,65
402,35,64,85,74,55,32
403,55,104,105,94,75,52
404,55,84,105,114,75,52
405,100,90,130,45,65,55
406,43,30,55,40,65,97
407,45,75,60,40,30,50
408,65,95,100,60,50,50
409,95,135,80,110,80,100
410,95,145,130,120,90,120
411,40,55,80,35,60,30
412,60,75,100,55,80,50
413,80,135,130,95,90,70
414,80,145,150,105,110,110
415,80,100,200,50,100,50
416,80,50,100,100,200,50
417,80,75,150,75,150,50
418,80,80,90,110,130,110
419,80,100,120,140,150,110
420,80,90,80,130,110,110
421,80,130,100,160,120,110
422,100,100,90,150,140,90
423,100,150,90,180,160,90
424,100,150,140,100,90,90
425,100,180,160,150,90,90
426,105,150,90,150,90,95
427,105,180,100,180,100,115
428,100,100,100,100,100,100
429,50,150,50,150,50,150
430,50,180,20,180,20,150
431,50,70,160,70,160,90
432,50,95,90,95,90,180
433,55,68,64,45,55,31
434,75,89,85,55,65,36
435,95,109,105,75,85,56
436,44,58,44,58,44,61
437,64,78,52,78,52,81
438,76,104,71,104,71,108
439,53,51,53,61,56,40
440,64,66,68,81,76,50
441,84,86,88,111,101,60
442,40,55,30,30,30,60
443,55,75,50,40,40,80
444,85,120,70,50,60,100
445,59,45,40,35,40,31
446,79,85,60,55,60,71
447,37,25,41,25,41,25
448,77,85,51,55,51,65
449,45,65,34,40,34,45
450,60,85,49,60,49,60
451,80,120,79,95,79,70
452,40,30,35,50,70,55
453,60,70,65,125,105,90
454,67,125,40,30,30,58
455,97,165,60,65,50,58
456,30,42,118,42,88,30
457,60,52,168,47,138,30
458,40,29,45,29,45,36
459,60,59,85,79,105,36
460,60,79,105,59,85,36
461,60,69,95,69,95,36
462,70,94,50,94,50,66
463,30,30,42,30,42,70
464,70,80,102,80,102,40
465,60,45,70,45,90,95
466,55,65,35,60,30,85
467,85,105,55,85,50,115
468,45,35,45,62,53,35
469,70,60,70,87,78,85
470,76,48,48,57,62,34
471,111,83,68,92,82,39
472,75,100,66,60,66,115
473,90,50,34,60,44,70
474,150,80,44,90,54,80
475,55,66,44,44,56,85
476,65,76,84,54,96,105
477,65,136,94,54,96,135
478,60,60,60,105,105,105
479,100,125,52,105,52,71
480,49,55,42,42,37,85
481,71,82,64,64,59,112
482,45,30,50,65,50,45
483,63,63,47,41,41,74
484,103,93,67,71,61,84
485,57,24,86,24,86,23
486,67,89,116,79,116,33
487,50,80,95,10,45,10
488,20,25,45,70,90,60
489,100,5,5,15,65,30
490,76,65,45,92,42,91
491,50,92,108,92,108,35
492,58,70,45,40,45,42
493,68,90,65,50,55,82
494,108,130,95,80,85,102
495,108,170,115,120,95,92
496,135,85,40,40,85,5
497,40,70,40,35,40,60
498,70,110,70,115,70,90
499,70,145,88,140,70,112
500,68,72,78,38,42,32
501,108,112,118,68,72,47
502,40,50,90,30,55,65
503,70,90,110,60,75,95
504,48,61,40,61,40,50
505,83,106,65,86,65,85
506,74,100,72,90,72,46
507,49,49,56,49,61,66
508,69,69,76,69,86,91
509,45,20,50,60,120,50
510,60,62,50,62,60,40
511,90,92,75,92,85,60
512,90,132,105,132,105,30
513,70,120,65,45,85,125
514,70,70,115,130,90,60
515,110,85,95,80,95,50
516,115,140,130,55,55,40
517,100,100,125,110,50,50
518,75,123,67,95,85,95
519,75,95,67,125,95,83
520,85,50,95,120,115,80
521,86,76,86,116,56,95
522,65,110,130,60,65,95
523,65,60,110,130,95,65
524,75,95,125,45,75,95
525,110,130,80,70,60,80
526,85,80,70,135,75,90
527,68,125,65,65,115,80
528,68,165,95,65,115,110
529,60,55,145,75,150,40
530,45,100,135,65,135,45
531,70,80,70,80,70,110
532,50,50,77,95,77,91
533,50,65,107,105,107,86
534,50,65,107,105,107,86
535,50,65,107,105,107,86
536,50,65,107,105,107,86
537,50,65,107,105,107,86
538,75,75,130,75,130,95
539,80,105,105,105,105,80
540,75,125,70,125,70,115
541,100,120,120,150,100,90
542,90,120,100,150,120,100
543,91,90,106,130,106,77
544,110,160,110,80,110,100
545,150,100,120,100,120,90
546,150,120,100,120,100,90
547,120,70,120,75,130,85
548,80,80,80,80,80,80
549,100,100,100,100,100,100
550,70,90,90,135,90,125
551,100,100,100,100,100,100
552,100,103,75,120,75,127
553,120,120,120,120,120,120
554,100,100,100,100,100,100
555,45,45,55,45,55,63
556,60,60,75,60,75,83
557,75,75,95,75,95,113
558,65,63,45,45,45,45
559,90,93,55,70,55,55
560,110,123,65,100,65,65
561,55,55,45,63,45,45
562,75,75,60,83,60,60
563,95,100,85,108,70,70
564,45,55,39,35,39,42
565,60,85,69,60,69,77
566,45,60,45,25,45,55
567,65,80,65,35,65,60
568,85,110,90,45,90,80
569,41,50,37,50,37,66
570,64,88,50,88,50,106
571,50,53,48,53,48,64
572,75,98,63,98,63,101
573,50,53,48,53,48,64
574,75,98,63,98,63,101
575,50,53,48,53,48,64
576,75,98,63,98,63,101
577,76,25,45,67,55,24
578,116,55,85,107,95,29
579,50,55,50,36,30,43
580,62,77,62,50,42,65
581,80,115,80,65,55,93
582,45,60,32,50,32,76
583,75,100,63,80,63,116
584,55,75,85,25,25,15
585,70,105,105,50,40,20
586,85,135,130,60,80,25
587,55,45,43,55,43,72
588,67,57,55,77,55,114
589,60,85,40,30,45,68
590,110,135,60,50,65,88
591,103,60,86,60,86,50
592,103,60,126,80,126,50
593,75,80,55,25,35,35
594,85,105,85,40,50,40
595,105,140,95,55,65,45
596,50,50,40,50,40,64
597,75,65,55,65,55,69
598,105,95,75,85,75,74
599,120,100,85,30,85,45
600,75,125,75,30,75,85
601,45,53,70,40,60,42
602,55,63,90,50,80,42
603,75,103,80,70,80,92
604,30,45,59,30,39,57
605,40,55,99,40,79,47
606,60,100,89,55,69,112
607,40,27,60,37,50,66
608,60,67,85,77,75,116
609,45,35,50,70,50,30
610,70,60,75,110,75,90
611,70,92,65,80,55,98
612,50,72,35,35,35,65
613,60,82,45,45,45,74
614,95,117,80,65,70,92
615,70,90,45,15,45,50
616,105,140,55,30,55,95
617,105,30,105,140,105,55
618,75,86,67,106,67,60
619,50,65,85,35,35,55
620,70,95,125,65,75,45
621,50,75,70,35,70,48
622,65,90,115,45,115,58
623,72,58,80,103,80,97
624,38,30,85,55,65,30
625,58,50,145,95,105,30
626,54,78,103,53,45,22
627,74,108,133,83,65,32
628,55,112,45,74,45,70
629,75,140,65,112,65,110
630,50,50,62,40,62,65
631,80,95,82,60,82,75
632,40,65,40,80,40,65
633,60,105,60,120,60,105
634,55,50,40,40,40,75
635,75,95,60,65,60,115
636,45,30,50,55,65,45
637,60,45,70,75,85,55
638,70,55,95,95,110,65
639,45,30,40,105,50,20
640,65,40,50,125,60,30
641,110,65,75,125,85,30
642,62,44,50,44,50,55
643,75,87,63,87,63,98
644,36,50,50,65,60,44
645,51,65,65,80,75,59
646,71,95,85,110,95,79
647,60,60,50,40,50,75
648,80,100,70,60,70,95
649,55,75,60,75,60,103
650,50,75,45,40,45,60
651,70,135,105,60,105,20
652,69,55,45,55,55,15
653,114,85,70,85,80,30
654,55,40,50,65,85,40
655,100,60,70,85,105,60
656,165,75,80,40,45,65
657,50,47,50,57,50,65
658,70,77,60,97,60,108
659,44,50,91,24,86,10
660,74,94,131,54,116,20
661,40,55,70,45,60,30
662,60,80,95,70,85,50
663,60,100,115,70,85,90
664,35,55,40,45,40,60
665,65,85,70,75,70,40
666,85,115,80,105,80,50
667,55,55,55,85,55,30
668,75,75,75,125,95,40
669,50,30,55,65,55,20
670,60,40,60,95,60,55
671,60,55,90,145,90,80
672,46,87,60,30,40,57
673,66,117,70,40,50,67
674,76,147,90,60,70,97
675,55,70,40,60,40,40
676,95,110,80,70,80,50
677,70,50,30,95,135,105
678,50,40,85,40,65,25
679,80,70,40,100,60,145
680,109,66,84,81,99,32
681,45,85,50,55,50,65
682,65,125,60,95,60,105
683,77,120,90,60,90,48
684,59,74,50,35,50,35
685,89,124,80,55,80,55
686,45,85,70,40,40,60
687,65,125,100,60,70,70
688,95,110,95,40,95,55
689,70,83,50,37,50,60
690,100,123,75,57,75,80
691,70,55,75,45,65,60
692,110,65,105,55,95,80
693,85,97,66,105,66,65
694,58,109,112,48,48,109
695,52,65,50,45,50,38
696,72,85,70,65,70,58
697,92,105,90,125,90,98
698,55,85,55,50,55,60
699,85,60,65,135,105,100
700,91,90,129,90,72,108
701,91,129,90,72,90,108
702,91,90,72,90,129,108
703,79,115,70,125,80,111
704,79,100,80,110,90,121
705,79,115,70,125,80,111
706,79,105,70,145,80,101
707,100,120,100,150,120,90
708,100,150,120,120,100,90
709,89,125,90,115,80,101
710,89,145,90,105,80,91
711,125,130,90,130,90,95
712,125,170,100,120,90,95
713,125,120,90,170,100,95
714,91,72,90,129,90,108
715,91,72,90,129,90,108
716,100,77,77,128,128,90
717,100,128,90,77,77,128
718,71,120,95,120,95,99
719,56,61,65,48,45,38
720,61,78,95,56,58,57
721,88,107,122,74,75,64
722,40,45,40,62,60,60
723,59,59,58,90,70,73
724,75,69,72,114,100,104
725,41,56,40,62,44,71
726,54,63,52,83,56,97
727,72,95,67,103,71,122
728,38,36,38,32,36,57
729,85,56,77,50,77,78
730,45,50,43,40,38,62
731,62,73,55,56,52,84
732,78,81,71,74,69,126
733,38,35,40,27,25,35
734,45,22,60,27,30,29
735,80,52,50,90,50,89
736,62,50,58,73,54,72
737,86,68,72,109,66,106
738,44,38,39,61,79,42
739,54,45,47,75,98,52
740,78,65,68,112,154,75
741,66,65,48,62,57,52
742,123,100,62,97,81,68
743,67,82,62,46,48,43
744,95,124,78,69,71,58
745,75,80,60,65,90,102
746,62,48,54,63,60,68
747,74,48,76,83,81,104
748,74,48,76,83,81,104
749,45,80,100,35,37,28
750,59,110,150,45,49,35
751,60,150,50,150,50,60
752,60,50,150,50,150,60
753,78,52,60,63,65,23
754,101,72,72,99,89,29
755,62,48,66,59,57,49
756,82,80,86,85,75,72
757,53,54,53,37,46,45
758,86,92,88,68,75,73
759,42,52,67,39,56,50
760,72,105,115,54,86,68
761,50,60,60,60,60,30
762,65,75,90,97,123,44
763,50,53,62,58,63,44
764,71,73,88,120,89,59
765,44,38,33,61,43,70
766,62,55,52,109,94,109
767,58,89,77,45,45,48
768,82,121,119,69,59,71
769,77,59,50,67,63,46
770,123,77,72,99,92,58
771,95,65,65,110,130,60
772,78,92,75,74,63,118
773,67,58,57,81,67,101
774,50,50,150,50,150,50
775,45,50,35,55,75,40
776,68,75,53,83,113,60
777,90,100,70,110,150,80
778,57,80,91,80,87,75
779,43,70,48,50,60,38
780,85,110,76,65,82,56
781,49,66,70,44,55,51
782,44,66,70,44,55,56
783,54,66,70,44,55,46
784,59,66,70,44,55,41
785,65,90,122,58,75,84
786,55,85,122,58,75,99
787,75,95,122,58,75,69
788,85,100,122,58,75,54
789,55,69,85,32,35,28
790,95,117,184,44,46,28
791,40,30,35,45,40,55
792,85,70,80,97,80,123
793,126,131,95,131,98,99
794,126,131,95,131,98,99
795,108,100,121,81,95,95
796,50,100,150,100,150,50
797,50,160,110,160,110,110
798,80,110,60,150,130,70
799,80,160,60,170,130,80
800,80,110,120,130,90,70
